Topic,Count,Name,Representation,Representative_Docs
-1,2584,-1_the_to_and_this,"['the', 'to', 'and', 'this', 'you', 'is', 'of', 'for', 'that', 'in']","['I’ve been broken hearted for years now, I have personally experienced being kidnapped and brutalised for weeks on end before being rescued, but in those days I saw and heard far more brutal things happen in an 18 wheeler renovated into two little studios and expensive looking cameras and microphones were built into it one was like a child’s bedroom and the other had scenery on the walls to make it look like a playground the detectives that shut it down were horrified and disgusted by the evidence they found and the kind of people that were involved, from legal practitioners to teachers, pharmacist, enlisted soldiers, mormons and a Magistrate, women and mothers too, nasty sex workers who really had zero morals and they were using heroin and methamphetamines and would also keep me both smacked out of my brain until they used my 6 year old body to make them feel good, if you’re not aware, as a victim this was only a third of the insult and only half the dehumanisation because although it’s bad now, the process of prosecution was so much worse back in 1985, I was afforded no respect and every insult occurred in threes, once for the cops one for the state and one for fuck knows what, perhaps for shits and giggles and after all this, one man (the most disgusting violent and sadistic AF served 2 years, and me I was left an addict to heroin and benzodiazepines, I even overdosed during the acquittal hearing during a break in the toilets at the County Courthouse I was administered Narcan and resuscitated in front of the Victorian press but they only asked me when the next hearing was, I didn’t even have a mentor provided me as a almost 7 year old baby now I look back at it', ""I do not enjoy these videos so I rarely get them in my recommendations. I got this one and watched it. Thank you for what you are doing. it is unfortunate that these crimes are committed almost effortlessly. These men are sick in their heads and treatment is not effective over their drive, obsession and addiction. They seem to stick together in these rings and the big money rolls around I'm sure its so sad and it will continue as these kids grow up and offend themselves. It's a revolving door,it's an addiction and a disease. We need to focus like you said un identifying these babies and children who are being abused to hopefully get them the proper help as young as it is possible. It is impossible to relate to the p3dos and I think the crimes are not taken serious. I wonder how many kids this man has hurt in the last 2 yrs running free while the feds twiddle there thumbs trying to get to the kings while all the pawns run free to continue trying to become the king. What's up with all the teachers lately. The females obviously suffer from this as well. Thanks again"", 'Yeah spectrum is more for drug’s and booze not CP this fing guy needs to be given two choices,\n#1.jump or #2.Burn !\nThis way we don’t have to push him and then have his death on our soul that we have to answer for when we meat Jesus ..\nIf it meant one kid not being hurt I would gladly answer to god come what may but if I can get him to believe that I mean business to get him to jump I’ll do my best and if he’s stubborn and tries to cling to life then so be it I’ll strike that match.\nAs human beings we all need to start pretending all kids are our own kids and start doing the hard things we shy away from to keep all kids safe or this will never stop .\nWe all have choices to make and as easy as it is to choose goodness this peace of garbage chooses to be filthy and call it addiction which is nonsense,\nHe calls his love for cp an addiction so he’s got an excuse to continue making the wrong choices because it makes him feel good to be evil and foul and we need him and others like him scared shtless of getting busted and the only way to do it is to hold the ones we do get accountable in public when we make them suicide or else we peel there skin off till they do and perhaps this will slow them down .\nIf these monsters refuse to pump the brakes then we need to start doing it for them because it’s only getting worse as the years go on and I don’t see any other way to stop it . modern technology has given them the tools to take there perversions to the ultimate conclusions and beyond humanity.\nWe as good humans need to start   Fighting this cancer.\nI live in fear someone will do this to someone I love and what I would have to do in response and it terrifies me because after it’s happened all my choices will have been taken,all but one and I wouldn’t be able to live in a world with the monster who hurts my loved ones if he’s still sucking air and prison will only put him out of my reach and this I could never allow no matter what the punishment would be I would have to end that monster at any price .\nThey are among us and they look like this guy.\nIf you didn’t know this man and he was sitting two seats over at a McDonald’s watching the children of your life you would never know there was a monster sitting there and it’s because we allow them to live for fear of the consequences if we end them and even putting them on the radar they don’t get punished the way they need to so they just keep on offending and they are getting more and more fearless because we allow them to.\nAt some point this monster is going to get board just watching and he will up his game and start acting his perversions out in real life,then after a while he will get board again and take it to the next level until he reaches the very bottom until he’s taken it as far as his perversion goes and he’s making snuff cp and has lost all control and it will be your kid he does it to.\nOnly evil will end this kind of evil and we need to come to terms with this horrible truth before it’s too late .\nOr I could be wrong and you don’t mind  this man sitting next to your children at a 3rd grade ball game because we allow him his rights above the rights and safety of our kids .\nOnly death will stop them so we need to start sending them straight to hell ,first class !\nIf we cut there dks off and make them need colostomy bags they won’t have the tools so these are the choices or death .\nKeeping them alive is no different than putting a rattlesnake in bed with your kids,if you let that snake live it will bite every chance you give it it will always bite because it’s a snake and it knows no better.\nWe don’t just put these men in prison and never hear from them again ,if we put them in prison it is at our own expense as we have to pay for them to eat,so they grape and kill our kids then choose prison for them over death and then pay for them for the rest of there lives in prison which means we litelry pay them for them graping our baby’s which is a ball punch like no other .\nMake it make sense!']"
0,847,0_epstein_worse_than_is,"['epstein', 'worse', 'than', 'is', 'the', 'he', 'this', 'of', 'and', 'but']","['Worse than Epstein 😭', '""Worse than Epstein""🫩😭', 'Worse than Epstein? ➡️']"
1,437,1_bro_work_you_god,"['bro', 'work', 'you', 'god', 'the', 'good', 'job', 'what', 'video', 'wtf']","['Good work bro!', 'God bless you bro!!! Great work', 'Love u bro keep up the work God bless❤️']"
2,391,2_jidion_jacket_the_you,"['jidion', 'jacket', 'the', 'you', 'lv', 'to', 'that', 'and', 'work', 'your']","['W jidion', 'W Jidion', 'W jidion']"
3,352,3_the_fbi_they_to,"['the', 'fbi', 'they', 'to', 'and', 'in', 'cops', 'for', 'that', 'of']","[""The work you do is amazing. As most cops won't do anything until it's too late, you need to also know that someone like this is being investigated at that level, and not arrested is normally due to a bigger case to make sure he's not getting out or off. You may have actually hindered him from getting arrested for a bigger case and a longer time away. I feel you should be contacting the police before going and visiting these people, or at least calling them when you are there."", 'You lucky u didnt ruin the fbi investigation they would of hit u with charges. And like how you said he went to Thailand trip thats why alot of these white men be going to the Philippines. There is documentaries about it. They go out there and offer these poor families money for kids and shit like that. Or they find kids walking around and offer them money you know what and these kids are eating out the street living in slums so they do what ever for chump change. Its sad.', 'I refuse to believe that what they\'re saying about the investigation and everything is true. There\'s no way you know that you catch a guy with cp on his phone let him go, if you\'re after a bank robber you want to catch them as soon as possible why not this monster? You wanna tell me you know that the guy is trading cp on his phone, you know he went to thailand to sa children and you\'re running an ""investigation"" tf you waiting for? For him to do it again? He already done the crime and you know it you need to lock him up right away and then you can look for evidence. You won\'t find anything more than there is so why run some secret investigation that takes month to find out all the shit the dudes been doing when you can bust him and get the evidence the very next day. That\'s cheaper, it\'s faster and you know he\'s not going to do something else while you\'re ""investigating"". Investigation has a point when you\'re looking for some notorious criminal when you need to find out information about the guy you\'re after so you can plan exactly what you need to do so you can take him down but this guy doesn\'t have anyone with him, he\'s not armed, he\'s just a defenseless sitting duck and you know everything you need to know but you keep looking for more while this dude is r*ping kids in thailand good job.']"
4,333,4_early_im_is_the,"['early', 'im', 'is', 'the', 'he', 'that', 'in', 'seconds', 'gang', 'said']","['I’m so early', 'To early', 'I’m crazy early']"
5,291,5_babies_you_to_the,"['babies', 'you', 'to', 'the', 'people', 'and', 'decapitating', 'these', 'gore', 'this']","[""I'm still waiting on the unredacted files to be released. But this man is definitely disgusting. Decapting babies and getting off on it?! Thank you, JiDion, for doing what you do. Thank you for actually protecting children."", 'This guy is disgusting. Getting off on decapitated babies?', 'This is going to make me sick DECAPITATING BABIES WHAT THE FUCK']"
6,204,6_buffalo_ny_from_in,"['buffalo', 'ny', 'from', 'in', 'live', 'im', 'this', 'my', 'town', 'to']","['I live in Buffalo ny 😮', ""I'm from Buffalo.."", '2:08 I’M FROM BUFFALO NY….']"
7,144,7_thumbnail_tiktok_image_new,"['thumbnail', 'tiktok', 'image', 'new', 'reaction', 'comment', 'comments', 'farming', 'thumbnails', 'meme']","['The thumbnail 😂', 'W Thumbnail', 'W thumbnail']"
8,140,8_title_crazy_wild_is,"['title', 'crazy', 'wild', 'is', 'the', 'this', 'video', 'titles', 'insane', 'saw']","['crazy title', 'title is crazy', 'Title is crazy']"
9,108,9_her_talking_dad_should,"['her', 'talking', 'dad', 'should', 'keep', 'to', 'he', 'white', 'mandys', 'mandy']","['“Should I keep talking to her”  what…..🫩', 'Should I keep talking to her', '“should i keep talking to her” 🥀🥀🥹']"
10,81,10_hand_hands_shaking_shake,"['hand', 'hands', 'shaking', 'shake', 'his', 'you', 'handshake', 'shook', 'how', 'handshakes']","['Bro how did you shake his hand', 'Stop shaking his hand', 'bro why do you keep shaking his hand?']"
11,80,11_eminem_looks_like_look,"['eminem', 'looks', 'like', 'look', 'he', 'shady', 'why', 'does', 'slim', 'kinda']","['he look like eminem', 'why he looks like Eminem😭😭😭', 'He looks like eminem']"
12,73,12_chomp_thing_caught_worse,"['chomp', 'thing', 'caught', 'worse', 'is', 'ahh', 'bro', 'than', 'awful', 'he']","['CHOMP THING???', 'Chomp Thing?', 'Chomp thing']"
13,53,13_trump_caught_you_donald,"['trump', 'caught', 'you', 'donald', 'catch', 'next', 'president', 'thought', 'the', 'of']","['You caught Trump?', 'You caught Trump!?', 'You Caught Trump???']"
