Topic,Count,Name,Representation,Representative_Docs
-1,235,-1_boycottroblox_3rubensim_rubenisinnocent_rubenwins,"['boycottroblox', '3rubensim', 'rubenisinnocent', 'rubenwins', 'robloxisoverparty', '00', 'banger', 'robloxneedtoclean', 'robloxisover', 'wuben']","['#boycottroblox', '#BoycottRoblox', '#boycottroblox']"
0,11581,0_roblox_the_and_to,"['roblox', 'the', 'and', 'to', 'is', 'they', 'of', 'this', 'that', 'you']","['But like a part of the game they say they really care about child safety but the literally create so many tos\'s so if anything happens becauso of roblox they can just say ""no it\'s in our terms of service"" like what a shit of a company do you have to be to sue a creator because he did nothing like roblox literally is accusing him of doing so many things he didn\'t do .', 'Honestly roblox is horrible, the so called “content” doesn’t even go out correctly, their moderation actually is horrible, auto mod or not, it’s horrible. It makes no sense that they still have a employee that goes that far to post NSFW, they like to defend themselves so much, not only that I’ve been temp banned just for saying the word “gay” yet it was not used offensively. It’s also basically an illegal website, as children gamble for hats and robux. Paying money for some in game currency and not being able to gain it virtually for free, they only want to make money, and the only reason why they ride the shit out of you is because you’re exposing everything wrong with this platform, they lose money, so they’re suing you for the money THEY want, for their own use and to not even put it into their platform. Have you seen updates to the platform at all that actually improves anything, such as moderation? No, they keep it all to themselves.', 'It\'s so sad that an youtuber tries to be funny and troll with potentially dangerous lies and people defend him because ""poor youtuber ;(( big company bad"" I honestly hope Roblox tries again and wins this, you play with fire you get hurt. I hate ""trolls"" (childish people who can\'t get any attention besides making a fool out of themselves) and it\'s time people stop ignoring them. You ruin other people\'s fun and waste their time just for your own personal enjoyment, most selfish entitled bitches I\'ve ever seen. It\'s time someone put them in their place, yes 1.6 million is big but it\'s so it sets an example. Roblox wouldn\'t sue based on lies and ""exaggerations"". You guys are downplaying the problem, roblox is 100% right, but you don\'t see it because ""it\'s a troll! It\'s just a joke! It\'s not that serious ;(( they\'re exageratting"". They\'re saying it as it is, jokes can be harmful. What even is the joke here? How tf do people joke about terorrism? Explain what\'s so funny about it. But of course kids and people who have the mentality of a 13 year old will defend this person and say it\'s just a joke. How many jokes ruined lives I wonder, how many ""pranks"". \n\nit stops being a joke once it\'s about a SERIOUS matter (terrorism/minorities/hurting someone etc.).  Just think about it. Why the FUCK would a MULTI BILLION company care so much about a single guy and want to ruin his life? They don\'t, they were just using their brain and realized it went too far. But of course you retards will believe this guy since you are listening to HIS SIDE OF THE STORY presented FROM HIS PERSPECTIVE. Even a killer could seem like the victim if you listen to what they have to say. Read about both sides, then tell me about how innocent he really is.']"
1,2276,1_ruben_sim_you_lawyer,"['ruben', 'sim', 'you', 'lawyer', 'rubens', 'we', 'go', 'thank', 'this', 'win']","[""Thank you Ruben sim's lawyer <3"", 'thank you ruben sim lawyer', 'Thank you Ruben Sim’s Lawyer!']"
2,1628,2_you_strong_win_stand,"['you', 'strong', 'win', 'stand', 'luck', 'hope', 'ruben', 'good', 'man', 'this']","['I hope you win man', 'Hope you win Ruben, we wish you the best of luck. #freerubensim', 'hope you win. good luck man']"
3,1531,3_you_lawyer_the_to,"['you', 'lawyer', 'the', 'to', 'court', 'sue', 'for', 'this', 'in', 'them']","['I hope you can counter sue the shit out of them after this. Get all and more back. Good luck', 'if they go to court with you you have evidence you didnt do it', 'I wonder how they are not getting sued rn with all the evidence you have and the people you might be able to sue them for more then how much they are sueing you you might even be able to make them ban all of that dudes accounts and also I feel like you might be able to win in the court']"
4,876,4_this_oh_is_fucking,"['this', 'oh', 'is', 'fucking', 'lol', 'god', 'up', 'fucked', 'what', 'no']","['This is fucked up', 'oh god no', 'This is fucked up.']"
5,734,5_cybermob_game_mob_cyber,"['cybermob', 'game', 'mob', 'cyber', 'im', 'the', 'of', 'part', 'this', 'to']","['i cybermob', '""cybermob""', 'Im a cybermob😎']"
6,630,6_video_this_the_911,"['video', 'this', 'the', '911', 'is', 'videos', 'next', 'to', 'long', 'vid']","['Thank you for this video', 'THE VIDEO IS 911', 'What video is this 1:46 💀💀']"
7,549,7_freerubensim_robloxadminsarebabiesfreerubensim_freeruben_justiceforruben,"['freerubensim', 'robloxadminsarebabiesfreerubensim', 'freeruben', 'justiceforruben', 'freerubinsim', 'saveruben', 'saverubensim', 'justiceforrubensim', 'this', 'freerubin']","['#FREERUBENSIM', '#FREERUBENSIM', '#FreeRubenSim']"
8,377,8_part_episode_parts_when,"['part', 'episode', 'parts', 'when', 'where', 'other', 'wait', 'the', 'ep', 'ep2']","['Part 2?', 'Part 2', 'Part 2?']"
9,260,9_16_views_million_likes,"['16', 'views', 'million', 'likes', 'dollars', 'mil', 'rip', '16m', 'money', 'you']","['Video got 1.6 million views', '1.6 million views', '1.6 Million Views']"
10,233,10_banned_got_for_spam,"['banned', 'got', 'for', 'spam', 'aglorithim', 'ima', 'was', 'me', 'days', 'my']","['I have been banned since its starting  to year 2020 and ive been banned 13 times which is banned because of ""inappropriate"" like saying "":D"", ""Nice"", ""cool"" and more, and also i have the screenshot of me getting banned i even got banned because i made a new account and immediately get banned for ""Do not make account for alts"" like come on really??', 'i got banned for 7 days for a guy called me a racist but i got banned for 7 days for calling him a troll', 'I got banned']"
11,128,11_gofundme_start_help_fund,"['gofundme', 'start', 'help', 'fund', 'donate', 'you', 'me', 'to', 'pay', 'go']","['Start a gofundme. We’ll help you homie', 'if you get sued start a gofundme', 'I hope the best for Ruben, we are with you! Start a GoFundMe and ill donate!']"
12,83,12_very_ebic_thisll_ew,"['very', 'ebic', 'thisll', 'ew', 'supportive', 'strange', 'historical', 'witness', 'gift', 'kinds']","['Very sus roblox', ""I'm very mad at roblox"", ""This'll be, very, very interesting""]"
13,77,13_feito_ben_de_que,"['feito', 'ben', 'de', 'que', 'un', 'bem', 'por', 'espaol', 'en', 'pipepino']","['omg un ben what', 'BEM FEITO BEM FEITO BEM FEITO KKKKKKKKKKKKKKKKKKKK, TINHA Q SER ERA PRESO', 'bem feito bem feito bem feito bem feito bem feito bem feito bem feito bem feito bem feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito 1ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito ben feito  Jfaururlweitl8wp525psrusfikgdidtditxit']"
