Topic,Count,Name,Representation,Representative_Docs
-1,143,-1_freeschelp_freeschlep_ww_que,"['freeschelp', 'freeschlep', 'ww', 'que', '199', 'oknjinjnj', 'respectforschelp', 'vtuber', 'tout', 'uma']","['#FREESCHELP', '#freeschelp', 'FREESCHELP']"
0,3045,0_roblox_to_and_is,"['roblox', 'to', 'and', 'is', 'the', 'you', 'for', 'this', 'of', 'on']","['L Roblox', '****  Roblox', '🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕 This is for Roblox']"
1,3039,1_he_and_to_was,"['he', 'and', 'to', 'was', 'the', 'that', 'this', 'but', 'like', 'me']","['I don’t think many would care and for starters i cant say the name of the game due to what I am to say now.. the game starts out fun your playing a shooter game but a chat is there.. people can talk to you it sound nice in fact i meet two people who where the only ones who where normal but now for the worst part.. bully’s and a groomers i have a feeling you can buy kids off that game so back to this person who dm me and another teenager and he ended up grooming me but guess what? He got away with it not to mention once in game there was this girl who roles the state and all men where over heels for her but there I was somebody who has no idea her power and I made a small mistake theres was a guy who was really creepy to me and once I was acting like one of my friends were my child it was a whole vibe we where having fun but the girl saw and sent the guy the creep and why was he sent to little ol me? To r*pe me.', 'I lowk thought this was a pred/pedo i had to deal with, I\'m 13 and he\'s around his 20\'s or so, his user is Steve_Bloks, luckily he\'s banned but i will tell u the entire story about him... So on my account Scout4L1F3 which is banned for now because of him, I decided to play a little bit of ""Warm Isolation"" it was fun and stuff, i was using my soundboard js for a lil bit of trolling and that\'s when Steve_Bloks came in, his display was ""Lua"" for some reason, idk, but his avatar was very feminine, IDK, but anyways, he said i was the only normal one, yk for chats, hanging out, ETC, we played for a while having fun and stuff until when he turned on his mic, and it was bad, now I\'m not trying to be racist or anything, but he sounded Indian and in his 20\'s now this made me feel like he was one of ""those"" pedos, because in the game, there are custom books you can get to have a title on it, the title for his book was ""r34"" or ""femboys"" this made me feel icky a lot, so I """"DISCONNECTED"""" and joined  dif server, and he started chatting me telling me to join back all in some feminy way, anyways, I rejoin, and I heard his full voice, and it was bad, after that, I blocked him, unfriended him, and never tried to go back to his account ever again. Luckily like I did say though he did get banned or js deleted his account but let me tell you something that you should look out for. Make sure when you talk to someone, examine the avatar and the actual name for the account, not the display, but actual, this is so that you know who you are talking to and to make sure you don\'t get fooled, sometimes it wont really work, but its the best option, make sure that it looks like they aren\'t trying to sweet talk you like by acting friendly or anything, this could often lead to you joining them in priv servers, and lastly, badges or creations, looking at the badges they have can tell you about the personality they have, it makes it so you know damn well who you are actually talking to, that\'s all I really know, hope this story can help you or anything like that. Stay safe out their Robloxians. -VintageDustSpeacks', 'Story 1.\n\nHey schlep, not sure if u can catch this predator or this guy is a predator a few years ago, i was playing apex legends with my brother and a guy randomly approached me (btw his user was Mr_Noob) i had vc and he had too so we started chatting. I was 10 by the time, and i wanted friends. He started chatting with me day by day. One day, he asked me for my number and i refused. Then, he gave me his number. We started texting and he always said how he really wanted to make me pregnant and have kids. He sent me a GIF of a woman on top of a man and more innapropriate stuff. He was 25, and saying at the age of 9 i would be a perfect girlfriend, and he even asked me where i live. Of course i didnt say anything. Then he suddenly wanted to facetime... He kept calling me over and over... I responded and he actually looked kinda crappy. He looked like this guy from this video but not exactly like it. He told me he was from Pakistan, and he wanted to meet me irl. I blocked him after that. Still scared of predators...\nStory 2.\nI was just doing some fxf (fxf means follow x follow basically u follow someone\'s channel and they follow u back) and this one guy, he was a minor tho, started texting me. It was worse than i thought. I had to get my parents involved. He wouldnt leave me alone, and he would say that he is sorry and he loves me. He sent me n*ked GIFs from where he could find. I still have his number tho, but if hes a minor i cant do anything (He is 14 or 15)\nWell, things got worse. He actually asked me for my location, face, and sent me a lot of sus emojis. And he actually told me how he really wants to make kids with me. I was uncomfortable and everytime i told him to f*ck off and leave me alone, he would say ""im sorry beautiful, im truly sorry..~""\nI never forgave him. He even tried to stalk me.\n\nIm just telling this story for everyone to hear, maybe they have some similar stories!\n\n From schlep, i just learned a few things i want to tell everyone:\n1. Even if somebody called you pretty but u met the person online, dont accept it as a compliment, the person is trying to gather all your trust and trick you.\n2. NEVER SHARE YOUR PERSONAL DATA! Even your location can cause danger. Please dont give your location to strangers.\n3. If you dont know who to call for help, call your parents. Your parents know better and will help you.\n4. Block the person! Yes, i agree, many persons love attention but, its a dangerous thing.\n5. NEVER SHOW YOUR FACE!! I did but, hey i was kinda lonely back then and i needed some friends, but please dont do that because its kind of dangerous...\n\nRoblox isnt a safe platform anymore. David promised its a safe game to play, but looks like now, its not anymore..\n#FREESCHLEP!!\n\nStay safe yall']"
2,2435,2_baba_the_intro_is,"['baba', 'the', 'intro', 'is', 'music', 'this', 'video', 'voice', 'so', 'editing']","['Already the intro is fire!!!! Love the music that goes with this intro vid as well 0:18', 'THE INTRO', 'The music in the video is 🔥']"
3,2333,3_schlep_free_sclepp_banned,"['schlep', 'free', 'sclepp', 'banned', 'schelp', 'you', 'for', 'the', 'is', 'schlepfree']","['Free schlep', 'FREE SCHLEP', 'FREE SCHLEP']"
4,2330,4_you_for_this_thank,"['you', 'for', 'this', 'thank', 'is', 'are', 'my', 'the', 'hero', 'to']","['Thank you so much for protecting our children in the world from predators like these you really have my respect 🫡', 'You are a hero we all love you for doing this', 'You guys are hero’s, thank you for protecting the kids']"
5,2326,5_the_is_he_bro,"['the', 'is', 'he', 'bro', 'that', 'this', 'math', 'gubby', 'what', 'to']","['3:09 Bro what😭😭', 'Why is gubby on this 😭', 'Why is he actually good at math']"
6,729,6_jidion_pred_he_the,"['jidion', 'pred', 'he', 'the', 'and', 'to', 'is', 'like', 'preds', 'chill']","['W jidion', 'w jidion', 'W jidion']"
7,669,7_live_fresno_california_in,"['live', 'fresno', 'california', 'in', 'madera', 'now', 'town', 'my', 'like', 'this']","['I live in fresno', 'I LIVE IN FRESNO CALIFORNIA WHAT THE....', 'I live in fresno california.........']"
8,644,8_13_age_old_year,"['13', 'age', 'old', 'year', 'she', 'the', 'is', '16', 'was', 'girl']","['A 13 YEAR OLD', '13 year old', 'For a 13 year old girl ( I’m not 13) why did she say it’s hot!!!!!!']"
