Topic,Count,Name,Representation,Representative_Docs
-1,6913,-1_baba_and_to_the,"['baba', 'and', 'to', 'the', 'this', 'schlep', 'of', 'you', 'that', 'he']","['When I was 14 I was groomed on kik and even though I’m 25 now, it’s still something that I think about often, as it has left long term effects on my mental health. Whenever I bring this stuff up online, there’s always people who are quick to victim blame, which is very frustrating because as a child you are too young to understand why it’s such a bad thing to be talking to these people and sending certain pictures of yourself to these people. I wish this kind of sting stuff was being done when I was younger, maybe I wouldn’t have been a victim. I’m glad there are now groups who are taking these people off the streets.', 'Y’know, I really feel bad for the predator and Im surprised Im saying that. Bros life was fucked long before schlep caught him. And the part where I feel even more pity for him is when Ji made him feel comfortable and safe despite the fact that the cops were en route. I think I’d maybe appreciate these videos more if cops honestly weren’t involved and I know that sounds crazy, but these are just reslly depressed guys out here and the last thing they need is somebody exposing them on the internet while they get sent to jail. A lot of these people just need to be talked to. I think it would be better if instead of calling cops you have a long conversation and blur their face, although that’s just me.', ""its upsetting roblox is doing this or that because I believe you are doing something good and amazing and too keep kids safe because since I found out about predators and on roblox kinda scares me or spooks me because I fear or I don't know if I would run into a predator or have to be scared or fear that I might experience this somehow or one day and I haven't but I am happy you do this to get rid of them and to protect kids especially if it isn't or if it is but it also great you are protecting kids from these types of people :)""]"
0,1683,0_bro_he_what_310,"['bro', 'he', 'what', '310', '2903', 'that', 'is', '2900', '309', 'the']","['33:15 when this guy said if you want me to send the cops away say ********** bruh not gonna lie, i totally approve you guys sending those monster to jail but please never say that again bruh that almost made me puke and I felt disgusted about you asking him to say that, please never do that again it felt like you where a creepy person', 'What did he even say at the part where he captioned “someone will probably time stamp this but…” ?', 'What did the guy say? I want to know']"
1,542,1_schlep_you_hero_schleps,"['schlep', 'you', 'hero', 'schleps', 'thank', 'love', 'the', 'we', 'goat', 'is']","['Schlep', 'schlep??????', 'Schlep']"
2,374,2_jidion_and_is_to,"['jidion', 'and', 'is', 'to', 'jidions', 'him', 'the', 'with', 'jidon', 'love']","['W jiDion', 'w jidion', 'W jidion']"
3,326,3_intro_hard_intros_sick,"['intro', 'hard', 'intros', 'sick', 'goes', 'the', 'that', 'was', 'cool', 'epic']","['Intro 🤠🤠', 'Intro', 'THE INTRO']"
4,318,4_sue_sued_roblox_trying,"['sue', 'sued', 'roblox', 'trying', 'suing', 'hero', 'sueing', 'is', 'to', 'you']","['Roblox trying to sue a hero😭💔', 'roblox is trying to SUE the hero', 'Roblox sue you']"
5,315,5_roblox_schlep_schelp_banned,"['roblox', 'schlep', 'schelp', 'banned', 'banning', 'ban', 'you', 'is', 'to', 'for']","['and Roblox why did you ban schlep', ""this is why Roblox banned schlep because Roblox doesn't want parents stop theyre  kids play Roblox thats why he banned schlep"", 'Schlep I feel bad that roblox banned you from roblox']"
6,302,6_banned_roblox_ban_banning,"['banned', 'roblox', 'ban', 'banning', 'for', 'got', 'get', 'you', 'and', 'they']","['This is the stuff Roblox banned you for?', 'Roblox banned this guy?', 'roblox banned ... this?']"
7,300,7_disgusting_this_people_sick,"['disgusting', 'this', 'people', 'sick', 'crazy', 'is', 'are', 'these', 'so', 'scary']","['this is disgusting 😭', 'This is so disgusting', 'This is so disgusting like how crazy are u']"
8,283,8_roblox_is_doing_hate,"['roblox', 'is', 'doing', 'hate', 'bro', 'why', 'this', 'not', 'their', 'now']","['What’s Roblox?', 'Roblox is so 𝙱𝙻𝙸𝙽𝙳', 'Bro f Roblox']"
9,269,9_predator_predators_catch_catching,"['predator', 'predators', 'catch', 'catching', 'the', 'are', 'you', 'they', 'of', 'like']","['Not you schlep the predator', 'Are you the predator 😐🤔🤨', 'bro is predator of predators']"
10,248,10_keep_best_you_job,"['keep', 'best', 'you', 'job', 'good', 'work', 'youre', 'thank', 'your', 'love']","['good job guys keep it up.', 'Keep up the good work', 'Your doing the good work man keep it up']"
11,244,11_nice_sounds_he_sounded,"['nice', 'sounds', 'he', 'sounded', 'so', 'like', 'guy', 'friendly', 'sweet', 'sound']","['he sounds so nice but Just isn’t :/', 'He sounds like a nice guy…..', ""He sounds like a nice guy but isn't 🥀""]"
12,241,12_13_old_she_year,"['13', 'old', 'she', 'year', 'age', 'shes', '16', '12', 'girl', '20']","[""It's a 13 year old 🥀"", '13 year old', 'A 13 YEAR OLD']"
13,230,13_music_stardew_valley_doom,"['music', 'stardew', 'valley', 'doom', 'song', 'undertale', 'the', 'end', 'ost', '1909']","['THE STARDEW VALLEY MUSIC HELP', 'not the stardew valley music😭', 'The stardew valley music']"
